22:49:09.177310,3.5,7.1,27875,7977,689832960,81121280,299119,29535,8584,6621,64320,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:09.681045,0.0,7.1,27875,7977,689832960,81121280,299119,29535,8584,6621,64320,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:10.184484,2.0,7.1,27875,7977,689832960,81121280,299119,29535,8584,6621,64320,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:10.686726,0.5,7.1,27875,7977,689832960,81121280,299119,29535,8584,6621,64320,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:11.190355,3.0,7.1,27875,7977,689832960,81121280,299119,29535,8584,6621,64320,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:11.693865,1.0,7.1,27875,7977,689832960,81121280,299119,29535,8584,6621,64320,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:12.197393,0.5,7.1,27875,7977,689832960,81121280,299119,29535,8584,6621,64320,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:12.700856,0.0,7.1,27875,7977,689832960,81121280,299119,29535,8584,6621,64320,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:13.204282,0.0,7.1,27875,7977,689832960,81121280,299119,29535,8584,6621,64320,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:13.707783,1.0,7.1,27875,7984,689832960,81203200,299119,29549,8584,6633,64332,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:14.211266,1.0,7.1,27875,8019,689832960,81367040,299119,29609,8584,6634,64376,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:14.714776,1.0,7.1,27875,8019,689832960,81367040,299119,29609,8584,6634,64376,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:15.218381,0.5,7.1,27875,8019,689832960,81367040,299119,29609,8584,6634,64376,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:15.721886,0.5,7.1,27875,8019,689832960,81367040,299119,29609,8584,6634,64376,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:16.225457,0.5,7.1,27875,8019,689832960,81367040,299119,29609,8584,6634,64376,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:16.728894,0.5,7.1,27875,8019,689832960,81367040,299119,29609,8584,6634,64376,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:17.232319,0.5,7.1,27875,8019,689832960,81367040,299119,29609,8584,6634,64376,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:17.735684,0.5,7.1,27875,8019,689832960,81367040,299119,29609,8584,6634,64376,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:18.239227,0.5,7.1,27875,8019,689832960,81367040,299119,29609,8584,6634,64376,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:18.742780,1.0,7.1,27875,8019,689832960,81367040,299119,29609,8584,6634,64376,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:19.246298,0.0,7.1,27875,8019,689832960,81367040,299119,29609,8584,6634,64376,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:19.749807,0.0,7.1,27875,8045,689832960,81485824,299119,29651,8584,6637,64408,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:20.253346,0.5,7.1,27875,8045,689832960,81485824,299119,29651,8584,6637,64408,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:20.756827,1.0,7.1,27875,8045,689832960,81485824,299119,29651,8584,6637,64408,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:21.260264,2.5,7.1,27875,8045,689832960,81485824,299119,29651,8584,6637,64408,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:21.762362,0.0,7.1,27875,8045,689832960,81485824,299119,29651,8584,6637,64408,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:22.265830,1.0,7.1,27875,8045,689832960,81485824,299119,29651,8584,6637,64408,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:22.769561,0.5,7.1,27875,8045,689832960,81485824,299119,29651,8584,6637,64408,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:23.273145,1.0,7.1,27875,8045,689832960,81485824,299119,29651,8584,6637,64408,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:23.776495,0.0,7.1,27875,8045,689832960,81485824,299119,29651,8584,6637,64408,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
22:49:24.280063,0.5,7.1,27875,8045,689832960,81485824,299119,29651,8584,6637,64408,30780,30780,311,311,0,0,0,0,1415167860,3710127841,262363,2539239,0,0,16973,0
